	params	train_accuracy	train_sensitivity	train_specificity	train_mcc	validation_accuracy	validation_sensitivity	validation_specificity	validation_mcc
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.932028594866987	0.87838400666389	0.9530332681017613	0.8318394337305849	0.9349371241115364	0.8752327746741154	0.9597523219814241	0.842023240198366
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9313254424000937	0.8850478967097043	0.9494455316373125	0.8309538058534017	0.9338436303991252	0.8789571694599627	0.9566563467492261	0.8397852575005413
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9317942107113559	0.8862973760932945	0.9496086105675147	0.832155226077831	0.9338436303991252	0.8789571694599627	0.9566563467492261	0.8397852575005413
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9312082503222782	0.8833819241982507	0.9499347684279191	0.8305008079367366	0.9332968835429196	0.8789571694599627	0.9558823529411765	0.8385363398241743
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9314426344779093	0.8842149104539775	0.9499347684279191	0.8311249470419344	0.9332968835429196	0.8789571694599627	0.9558823529411765	0.8385363398241743
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9314426344779093	0.8862973760932945	0.949119373776908	0.8313613482828234	0.9322033898305084	0.8789571694599627	0.9543343653250774	0.8360471348083065
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9314426344779093	0.8862973760932945	0.949119373776908	0.8313613482828234	0.9322033898305084	0.8789571694599627	0.9543343653250774	0.8360471348083065
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9315598265557248	0.8717201166180758	0.9549902152641878	0.8301119637093471	0.9322033898305084	0.8603351955307262	0.9620743034055728	0.8347152775146348
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9226532286417438	0.8458975426905456	0.9527071102413568	0.8070040152693007	0.9158009841443412	0.8230912476722533	0.9543343653250774	0.793888194801754
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'class_weight': 'balanced', 'random_state': 1618, 'n_jobs': 4}	0.9214813078635884	0.7788421491045397	0.9773320287018917	0.8014419136695229	0.9136139967195188	0.7560521415270018	0.9791021671826625	0.7876082367628624
